local	hash	isohash	family	result	clauses	variables	bytes	cls1	cls2	cls3	cls4	cls5	cls6	cls7	cls8	cls9	cls10p	horn	invhorn	positive	negative
/nfs/share/instances/gbd/cnf/00d74259dcca2176f1cd561f52bc0326-unif-k6-r43.37-v210-c9108-S5835296729793976499.cnf.xz	00d74259dcca2176f1cd561f52bc0326	018bf9b9f44b687473a6c8619ed01a0a	uniform-random	unknown	9108	210	235273	0	0	0	0	0	9108	0	0	0	0	989	975	142	131
/nfs/share/instances/gbd/cnf/00df199d465391a52fc37b87f81a957f-x9-02052.sat.sanitized.cnf.xz	00df199d465391a52fc37b87f81a957f	83edf5c9db2b40e6234cd41c23398b7e	hamiltonian	unknown	900	100	9337	0	820	0	20	40	20	0	0	0	0	820	80	80	820
/nfs/share/instances/gbd/cnf/00e010712b854966aa56caf9c9dc4696-58-122927.cnf.xz	00e010712b854966aa56caf9c9dc4696	03bf2cec1365befee64db090b55e5c1c	station-repacking	unknown	664974	28356	10231025	3	663656	1	1	3	2	0	9	4	1295	663659	1318	1318	663656
/nfs/share/instances/gbd/cnf/00e1e5a05ed04bcb437bd7fc57a88b7f-unif-k5-r21.3-v100-c2130-S1225022879-08.UNSAT.shuffled.cnf.xz	00e1e5a05ed04bcb437bd7fc57a88b7f	c7469e03c5c0b41ce9587e8a4f2cf998	uniform-random	unsat	2130	100	40408	0	0	0	0	2130	0	0	0	0	0	385	392	67	68
/nfs/share/instances/gbd/cnf/00e289099ea9bcef6a056a8c8ba8a3c0-ndist.b.21497.cnf.xz	00e289099ea9bcef6a056a8c8ba8a3c0	5b42e642bcfcf38ae7330cd2b8f7bdbd	bitvector	sat	386932	279453	7223674	1	257954	128977	0	0	0	0	0	0	0	279450	193469	64488	171968
/nfs/share/instances/gbd/cnf/00e32767bee1894beb0b71867f279d36-48-136923.cnf.xz	00e32767bee1894beb0b71867f279d36	7be8849a6dd0d5ecf129ff7de147769d	station-repacking	unknown	1135889	37961	17624244	3	1134125	2	1	5	3	0	10	5	1735	1134128	1764	1764	1134125
/nfs/share/instances/gbd/cnf/00e45ab8a1baf16155af6e59c3df5dbb-x9-11092.sat.sanitized.cnf.xz	00e45ab8a1baf16155af6e59c3df5dbb	fbd9767b87568fb21925ce9cdc75ef29	hamiltonian	unknown	4950	550	61494	0	4510	0	110	220	110	0	0	0	0	4510	440	440	4510
/nfs/share/instances/gbd/cnf/00e5aac4701e62ae50c9f1504057fce8-bench_10701.smt2.cnf.xz	00e5aac4701e62ae50c9f1504057fce8	59892222332be61cacd06e08943bd5ac	agile	unknown	9720	2816	148223	8	3630	5698	384	0	0	0	0	0	0	5628	5598	2980	749
/nfs/share/instances/gbd/cnf/00e974264f8f9048b68c983f36643115-47-108545.cnf.xz	00e974264f8f9048b68c983f36643115	6992f2cb21e2b75e7bf6742389baa01d	station-repacking	unknown	565820	26093	8672884	3	564612	1	1	4	2	0	8	2	1187	564615	1208	1208	564612
/nfs/share/instances/gbd/cnf/00ec2992d59f85705eb8e1f4f1e01b3d-sgen4-sat-280-8.cnf.xz	00ec2992d59f85705eb8e1f4f1e01b3d	d0e5d8d44a8534076afaec8a6d0f6960	sgen	sat	672	280	8240	0	560	0	0	112	0	0	0	0	0	444	437	142	145
/nfs/share/instances/gbd/cnf/00ecd19c442956ff9a22584fd9bf439e-unif-k3-r4.267-v5200-c22188-S8832663068472759902.cnf.xz	00ecd19c442956ff9a22584fd9bf439e	08820662453c916fb282278a763e244c	uniform-random	unknown	22188	5200	396361	0	0	22188	0	0	0	0	0	0	0	11060	11128	2720	2787
